DateTime,AddedIPs,RemovedIPs
1434711004,0,4
1434714604,0,1
1434862204,0,1
1434880204,1,0
1435053004,0,1
1435132204,1,0
1435146604,3,0
1435150204,7,0
1435153804,2,0
1435305004,0,1
1435319404,0,2
1435323004,0,7
1435326604,0,3
1435337404,1,0
1435510204,0,1
1435765804,1,0
1435776604,1,0
1435938604,0,1
1435949404,0,1
1436086204,1,0
1436172604,1,0
1436259004,0,1
1436262604,2,0
1436266204,3,0
1436269804,2,0
1436273404,1,0
1436305804,1,0
1436327404,1,0
1436345405,0,1
1436435404,1,0
1436439004,0,5
1436442605,1,2
1436446204,0,1
1436478604,0,1
1436500204,0,1
1436613604,1,2
1436774704,2,0
1436778304,2,1
1436781904,3,0
1436785504,1,0
1436789104,6,0
1436792704,3,0
1436796304,1,0
1436799904,2,0
1436803504,1,0
1436807103,2,0
1436810705,1,0
1436864704,8,0
1436868304,5,0
1436871904,1,0
1436875504,3,0
1436951104,0,4
1436954703,1,3
1436961903,0,7
1436965504,0,2
1436969103,0,2
1436972703,0,2
1436976303,0,1
1436979904,0,2
1436983503,0,1
1437037504,0,8
1437041104,0,4
1437044704,0,2
1437048304,0,2
1437051904,0,1
1437059104,2,0
1437062704,3,0
1437066304,1,0
1437069904,3,0
1437073504,2,0
1437077104,2,0
1437086105,1,0
1437089704,1,0
1437093304,1,0
1437096904,2,0
1437100504,3,0
1437104104,4,0
1437107704,2,0
1437111304,2,0
1437125705,0,1
1437233704,0,3
1437237304,0,2
1437240904,0,1
1437247205,0,5
1437250805,0,2
1437258005,0,1
1437261605,0,1
1437268805,0,2
1437272405,0,1
1437276005,0,4
1437279605,0,3
1437283205,0,4
1437319205,1,0
1437376806,1,0
1437474005,1,0
1437484805,1,0
1437492005,0,1
1437549604,0,1
1437660305,1,2
1437750305,2,0
1437825905,0,1
1437923104,0,2
1438016704,1,0
1438056304,1,0
1438067104,2,0
1438077904,1,0
1438081504,1,0
1438189504,0,1
1438229104,0,1
1438239904,0,1
1438243504,1,1
1438250704,0,1
1438254304,0,1
1438257904,1,0
1438416304,0,1
1438430704,0,1
1438484705,1,0
1438603504,1,0
1438657504,0,1
1438776304,0,1
1439063404,1,0
1439154304,1,0
1439200204,4,0
1439203804,1,0
1439214604,1,0
1439218204,1,0
1439238005,0,1
1439263204,1,0
1439284805,1,0
1439328005,0,1
1439367606,0,1
1439371206,0,3
1439374806,0,1
1439389206,0,1
1439392806,0,1
1439396406,1,0
1439400007,3,0
1439439607,0,1
1439457608,0,1
1439533209,1,0
1439569210,0,1
1439572809,0,2
1439576409,0,1
1439648411,0,0
1439706010,0,1
1439799612,2,0
1439803211,1,0
1439806811,1,0
1439810411,1,0
1439893212,1,0
1439971514,0,1
1439975114,0,2
1439978713,0,1
1439982314,0,1
1440050716,1,0
1440068717,1,1
1440126319,1,0
1440158721,0,0
1440162323,1,0
1440223523,0,1
1440241523,0,1
