DateTime,AddedIPs,RemovedIPs
1438745896,460,573
1438918486,999,3743
1439005465,509,582
1439091311,494,564
1439177687,392,521
1439264564,460,562
1439350479,467,595
1439436882,1705,624
1439523957,579,561
1439609730,3399,528
1439696093,2671,473
1439783658,759,539
1439868884,727,462
1439955423,540,490
1440042338,508,1468
1440128316,553,601
1440214494,515,3201
1440300892,2420,1950
1440387289,570,695
1440473683,4466,855
1440560090,583,1451
1440647631,603,827
1440732885,543,594
1440819305,595,633
1440905689,562,2057
1440992085,580,654
1441078493,508,3677
1441164886,669,586
1441251289,526,589
1441338441,1531,562
1441424088,550,580
1441510495,585,694
1441598103,630,632
1441683306,564,584
1441769705,542,568
1441856084,529,481
1441942873,507,1310
1442028893,544,485
1442115296,512,641
1442201695,464,603
1442288116,784,873
1442376015,1197,631
1442460885,545,586
1442547292,466,628
1442633696,488,600
1442720094,468,487
1442807322,521,514
1442893029,646,622
1442979282,468,1222
1443065922,468,584
1443152758,490,1265
1443238482,470,504
1443324897,3261,505
1443411282,3286,621
1443499834,520,586
1443584081,527,492
1443671484,562,599
1443756908,612,472
1443843286,650,527
1443931086,636,2891
1444016078,526,2773
1444102494,640,512
1444188903,579,588
1444276256,692,603
1444362884,578,557
1444449557,621,591
1444534482,611,546
1444620878,653,522
1444708451,584,590
1444793679,1635,571
1444880078,610,759
1444967154,695,624
1445052878,611,549
1445139294,572,650
1445225689,509,646
1445312076,645,582
1445398488,598,1390
1445485386,600,652
1445571284,656,717
1445657846,541,539
1445744080,596,556
1445831939,628,520
1445916880,623,978
1446003283,619,1088
1446089685,667,609
1446177938,794,634
1446262486,592,458
1446348889,567,560
1446435459,581,650
1446521679,589,710
1446694483,1001,1296
1446780879,573,670
1446867279,671,641
1446953693,513,611
1447040086,482,589
1447126484,441,605
1447212931,471,535
1447299300,500,551
1447385681,542,623
1447472085,526,631
1447558485,634,518
1447644723,93,1281
1447731123,757,476
1447817523,635,510
