DateTime,Entries,UniqueIPs
1438659309,14043,14043
1438745896,13930,13930
1438918486,11186,11186
1439005465,11113,11113
1439091311,11043,11043
1439177687,10914,10914
1439177687,10914,10914
1439177687,10914,10914
1439177687,10914,10914
1439177687,10914,10914
1439264564,10812,10812
1439350479,10684,10684
1439436882,11765,11765
1439523957,11783,11783
1439609730,14654,14654
1439609730,14654,14654
1439696093,16852,16852
1439783658,17072,17072
1439868884,17337,17337
1439955423,17387,17387
1440042338,16427,16427
1440128316,16379,16379
1440128316,16379,16379
1440214494,13693,13693
1440300892,14163,14163
1440387289,14038,14038
1440473683,17649,17649
1440560090,16781,16781
1440560090,16781,16781
1440647631,16557,16557
1440732885,16506,16506
1440819305,16468,16468
1440905689,14973,14973
1440992085,14899,14899
1441078493,11730,11730
1441164886,11813,11813
1441251289,11750,11750
1441338441,12719,12719
1441424088,12689,12689
1441510495,12580,12580
1441598103,12578,12578
1441683306,12558,12558
1441769705,12532,12532
1441856084,12580,12580
1441942873,11777,11777
1442028893,11836,11836
1442115296,11707,11707
1442201695,11568,11568
1442288116,11479,11479
1442376015,12045,12045
1442460885,12004,12004
1442547292,11842,11842
1442633696,11730,11730
1442720094,11711,11711
1442807322,11718,11718
1442893029,11742,11742
1442979282,10988,10988
1443065922,10872,10872
1443152758,10097,10097
1443238482,10063,10063
1443324897,12819,12819
1443411282,15484,15484
1443499834,15418,15418
1443584081,15453,15453
1443671484,15416,15416
1443756908,15556,15556
1443843286,15679,15679
1443931086,13424,13424
1444016078,11177,11177
1444102494,11305,11305
1444188903,11296,11296
1444276256,11385,11385
1444362884,11406,11406
1444449557,11436,11436
1444534482,11501,11501
1444620878,11632,11632
1444708451,11626,11626
1444793679,12690,12690
1444880078,12541,12541
1444967154,12612,12612
1445052878,12674,12674
1445139294,12596,12596
1445225689,12459,12459
1445312076,12522,12522
1445398488,11730,11730
1445485386,11678,11678
1445571284,11617,11617
1445657846,11619,11619
1445744080,11659,11659
1445831939,11767,11767
1445916880,11412,11412
1446003283,10943,10943
1446089685,11001,11001
1446177938,11161,11161
1446262486,11295,11295
1446348889,11302,11302
1446435459,11233,11233
1446521679,11112,11112
1446694483,10817,10817
1446780879,10720,10720
1446867279,10750,10750
1446953693,10652,10652
1447040086,10545,10545
1447126484,10381,10381
1447212931,10317,10317
1447299300,10266,10266
1447385681,10185,10185
1447472085,10080,10080
1447558485,10196,10196
1447644723,9008,9008
1447731123,9289,9289
1447817523,9414,9414
